Order ID,AWB Number,Total weight as per X (KG),Weight slab as per X (KG),Charged Weight,Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,Expected Charge as per X (Rs.),Charges Billed by Courier Company,Difference Between Expected Charges and Billed Charges (Rs.)
2001808286,1.09112E+12,0.601,1,0.77,0.77,b,d,68.5,90.2,-21.7
2001808801,1.09112E+12,0.553,1,0.8,0.8,b,d,70,90.2,-20.2
2001810104,1.09112E+12,0.601,1,0.76,0.76,b,d,68,90.2,-22.2
2001811153,1.09112E+12,0.607,1,0.76,0.76,b,d,68,90.2,-22.2
2001811229,1.09112E+12,0.505,1,0.6,0.6,b,d,60,90.2,-30.2
2001811363,1.09112E+12,0.508,1,0.59,0.59,b,d,59.5,90.2,-30.7
2001811466,1.09112E+12,0.607,1,0.8,0.8,b,d,70,90.2,-20.2
2001811809,1.09112E+12,0.5,1,0.5,0.5,b,d,55,86.7,-31.7
2001812854,1.09112E+12,2.236,1,2.94,2.94,b,d,177,269.4,-92.4
2001813009,1.09112E+12,0.72,1,1,1,b,d,80,90.2,-10.2
2001812650,1.09112E+12,0.227,1,0.61,0.61,b,d,60.5,90.2,-29.7
2001814580,1.09112E+12,0.127,1,0.15,0.15,b,d,37.5,86.7,-49.2
2001815688,1.09112E+12,0.22,1,0.2,0.2,b,d,40,45.4,-5.4
2001816131,1.09112E+12,0.452,1,0.7,0.7,b,d,65,90.2,-25.2
2001816996,1.09112E+12,0.5,1,0.5,0.5,b,d,55,45.4,9.600000000000001
2001821185,1.09112E+12,1.844,1,2.1,2.1,b,d,135,224.6,-89.6
2001821284,1.09112E+12,0.177,1,0.2,0.2,b,d,40,45.4,-5.4
2001821679,1.09112E+12,0.165,1,0.2,0.2,b,d,40,45.4,-5.4
2001821742,1.09112E+12,0.24,1,0.15,0.15,b,d,37.5,45.4,-7.9
2001821750,1.09112E+12,0.755,1,0.8,0.8,b,d,70,90.2,-20.2
2001821766,1.09112E+12,0.12,1,0.2,0.2,b,d,40,45.4,-5.4
2001821995,1.09112E+12,0.477,1,0.5,0.5,b,d,55,45.4,9.600000000000001
2001821502,1.09112E+12,0.334,1,0.6,0.6,b,d,60,90.2,-30.2
2001822466,1.09112E+12,0.352,1,1.1,1.1,b,d,85,135,-50
2001820690,1.09112E+12,0.065,1,0.15,0.15,b,d,37.5,45.4,-7.9
2001811604,1.09112E+12,0.481,1,0.8,0.8,b,b,70,61.3,8.700000000000003
2001819252,1.09112E+12,0.27,1,0.3,0.3,b,b,45,33,12
2001827036,1.09112E+12,2.039,1,1.6,1.6,b,b,110,117.9,-7.9
2001806304,1.09112E+12,0.5,1,0.71,0.71,b,d,65.5,90.2,-24.7
2001806768,1.09112E+12,0.21,1,1.02,1.02,b,d,81,135,-54
2001806823,1.09112E+12,0.127,1,0.59,0.59,b,d,59.5,90.2,-30.7
2001806828,1.09112E+12,0.5,1,0.69,0.69,b,d,64.5,90.2,-25.7
2001806968,1.09112E+12,0.5,1,0.68,0.68,b,d,64,90.2,-26.2
2001807328,1.09112E+12,0.49,1,2.28,2.28,b,d,144,224.6,-80.6
2001807785,1.09112E+12,0.5,1,0.68,0.68,b,d,64,90.2,-26.2
2001807852,1.09112E+12,0.5,1,0.74,0.74,b,d,67,90.2,-23.2
2001807970,1.09112E+12,0.765,1,4.13,4.13,b,d,236.5,403.8,-167.3
2001807329,1.09112E+12,0.5,1,0.73,0.73,b,d,66.5,90.2,-23.7
2001807613,1.09112E+12,0.83,1,1.04,1.04,b,d,82,135,-53
2001808475,1.09112E+12,0.5,1,0.7,0.7,b,d,65,90.2,-25.2
2001808585,1.09112E+12,0.5,1,0.72,0.72,b,b,66,61.3,4.700000000000003
2001808679,1.09112E+12,0.5,1,0.72,0.72,b,d,66,90.2,-24.2
2001808739,1.09112E+12,0.22,1,1.63,1.63,b,d,111.5,179.8,-68.3
2001808832,1.09112E+12,0.6,1,2.47,2.47,b,d,153.5,224.6,-71.1
2001808837,1.09112E+12,0.5,1,0.67,0.67,b,d,63.5,90.2,-26.7
2001808883,1.09112E+12,0.5,1,0.72,0.72,b,d,66,90.2,-24.2
2001808992,1.09112E+12,0.5,1,0.72,0.72,b,d,66,90.2,-24.2
2001809270,1.09112E+12,0.5,1,0.68,0.68,b,d,64,90.2,-26.2
2001809934,1.09112E+12,0.361,1,0.82,0.82,b,d,71,90.2,-19.2
2001810125,1.09112E+12,0.5,1,0.66,0.66,b,d,63,90.2,-27.2
2001810281,1.09112E+12,0.5,1,0.68,0.68,b,d,64,90.2,-26.2
2001810549,1.09112E+12,0.849,1,1.86,1.86,b,d,123,179.8,-56.8
2001810697,1.09112E+12,0.607,1,2.27,2.27,b,d,143.5,224.6,-81.1
2001811039,1.09112E+12,0.488,1,0.68,0.68,b,d,64,90.2,-26.2
2001811058,1.09112E+12,0.5,1,0.72,0.72,b,d,66,90.2,-24.2
2001811306,1.09112E+12,0.945,1,1.1,1.1,b,d,85,135,-50
2001812195,1.09112E+12,0.5,1,0.67,0.67,b,d,63.5,90.2,-26.7
2001812941,1.09112E+12,0.5,1,0.73,0.73,b,d,66.5,90.2,-23.7
2001809383,1.09112E+12,0.607,1,0.5,0.5,b,d,55,86.7,-31.7
2001820978,1.09112E+12,0.515,1,0.5,0.5,b,d,55,45.4,9.600000000000001
2001811475,1.09112E+12,0.689,1,0.5,0.5,b,b,55,33,22
2001811305,1.09112E+12,0.75,1,0.5,0.5,b,d,55,45.4,9.600000000000001
